GDS image: darribas/gds:11.0gc
                            Package     Version    Priority
abind                         abind       1.4-5        <NA>
arm                             arm      1.14-4        <NA>
arrow                         arrow      16.1.0        <NA>
askpass                     askpass       1.2.0        <NA>
assertthat               assertthat       0.2.1        <NA>
backports                 backports       1.5.0        <NA>
base                           base       4.3.3        base
base64enc                 base64enc       0.1-3        <NA>
bayesplot                 bayesplot      1.11.1        <NA>
bayestestR               bayestestR      0.14.0        <NA>
BH                               BH    1.84.0-0        <NA>
BiocManager             BiocManager     1.30.25        <NA>
bit                             bit       4.5.0        <NA>
bit64                         bit64       4.5.2        <NA>
bitops                       bitops       1.0-8        <NA>
blme                           blme       1.0-6        <NA>
blob                           blob       1.2.4        <NA>
bookdown                   bookdown        0.40        <NA>
boot                           boot      1.3-31 recommended
brew                           brew      1.0-10        <NA>
bridgesampling       bridgesampling       1.1-2        <NA>
brio                           brio       1.1.5        <NA>
brms                           brms      2.20.1        <NA>
Brobdingnag             Brobdingnag       1.2-9        <NA>
broom                         broom       1.0.6        <NA>
broom.mixed             broom.mixed     0.2.9.5        <NA>
bslib                         bslib       0.8.0        <NA>
cachem                       cachem       1.1.0        <NA>
callr                         callr       3.7.6        <NA>
car                             car       3.1-2        <NA>
carData                     carData       3.0-5        <NA>
caret                         caret      6.0-94        <NA>
cellranger               cellranger       1.1.0        <NA>
CFtime                       CFtime       1.4.1        <NA>
checkmate                 checkmate       2.3.2        <NA>
class                         class      7.3-22 recommended
classInt                   classInt      0.4-10        <NA>
cli                             cli       3.6.3        <NA>
clipr                         clipr       0.8.0        <NA>
clock                         clock       0.7.1        <NA>
cluster                     cluster       2.1.6 recommended
coda                           coda    0.19-4.1        <NA>
codetools                 codetools      0.2-20 recommended
colorspace               colorspace       2.1-1        <NA>
colourpicker           colourpicker       1.3.0        <NA>
colourvalues           colourvalues       0.3.9        <NA>
commonmark               commonmark       1.9.1        <NA>
compiler                   compiler       4.3.3        base
confintr                   confintr       1.0.2        <NA>
conflicted               conflicted       1.2.0        <NA>
conquer                     conquer       1.3.3        <NA>
corrplot                   corrplot        0.94        <NA>
cowplot                     cowplot       1.1.3        <NA>
cpp11                         cpp11       0.5.0        <NA>
crayon                       crayon       1.5.3        <NA>
credentials             credentials       2.0.1        <NA>
crosstalk                 crosstalk       1.2.1        <NA>
crul                           crul       1.5.0        <NA>
curl                           curl       5.2.1        <NA>
data.table               data.table      1.15.4        <NA>
datasets                   datasets       4.3.3        base
datawizard               datawizard      0.12.3        <NA>
DBI                             DBI       1.2.3        <NA>
dbplyr                       dbplyr       2.5.0        <NA>
deldir                       deldir       2.0-4        <NA>
dendextend               dendextend      1.17.1        <NA>
Deriv                         Deriv       4.1.6        <NA>
desc                           desc       1.4.3        <NA>
devtools                   devtools       2.4.5        <NA>
diagram                     diagram       1.6.5        <NA>
dichromat                 dichromat     2.0-0.1        <NA>
diffobj                     diffobj       0.3.5        <NA>
digest                       digest      0.6.37        <NA>
distributional       distributional       0.5.0        <NA>
doBy                           doBy      4.6.22        <NA>
downlit                     downlit       0.4.4        <NA>
dplyr                         dplyr       1.1.4        <NA>
DT                               DT        0.33        <NA>
dtplyr                       dtplyr       1.3.1        <NA>
duckdb                       duckdb     1.0.0-1        <NA>
