GDS version: 7.0
                            Package        Version    Priority
abind                         abind          1.4-5        <NA>
areal                         areal          0.1.7        <NA>
arm                             arm         1.12-2        <NA>
arrow                         arrow 5.0.0.20211021        <NA>
askpass                     askpass            1.1        <NA>
assertthat               assertthat          0.2.1        <NA>
backports                 backports          1.2.1        <NA>
base64enc                 base64enc          0.1-3        <NA>
bayesplot                 bayesplot          1.8.1        <NA>
bayestestR               bayestestR         0.11.0        <NA>
BH                               BH       1.75.0-0        <NA>
BiocManager             BiocManager        1.30.16        <NA>
BiocVersion             BiocVersion         3.13.1        <NA>
bit                             bit          4.0.4        <NA>
bit64                         bit64          4.0.5        <NA>
bitops                       bitops          1.0-7        <NA>
blme                           blme          1.0-5        <NA>
blob                           blob          1.2.2        <NA>
bookdown                   bookdown           0.24        <NA>
brew                           brew          1.0-6        <NA>
bridgesampling       bridgesampling          1.1-2        <NA>
brio                           brio          1.1.2        <NA>
brms                           brms         2.16.1        <NA>
Brobdingnag             Brobdingnag          1.2-6        <NA>
broom                         broom          0.7.9        <NA>
broom.mixed             broom.mixed          0.2.7        <NA>
bslib                         bslib          0.3.1        <NA>
cachem                       cachem          1.0.6        <NA>
callr                         callr          3.7.0        <NA>
car                             car         3.0-11        <NA>
carData                     carData          3.0-4        <NA>
cartogram                 cartogram          0.2.2        <NA>
cellranger               cellranger          1.1.0        <NA>
checkmate                 checkmate          2.0.0        <NA>
classInt                   classInt          0.4-3        <NA>
cli                             cli          3.0.1        <NA>
clipr                         clipr          0.7.1        <NA>
cNORM                         cNORM          2.1.0        <NA>
coda                           coda         0.19-4        <NA>
colorspace               colorspace          2.0-2        <NA>
colourpicker           colourpicker          1.1.1        <NA>
commonmark               commonmark            1.7        <NA>
conquer                     conquer          1.0.2        <NA>
corrplot                   corrplot           0.90        <NA>
cowplot                     cowplot          1.1.1        <NA>
cpp11                         cpp11          0.4.0        <NA>
crayon                       crayon          1.4.1        <NA>
credentials             credentials          1.3.1        <NA>
crosstalk                 crosstalk          1.1.1        <NA>
crul                           crul          1.1.0        <NA>
curl                           curl          4.3.2        <NA>
data.table               data.table         1.14.2        <NA>
datawizard               datawizard          0.2.1        <NA>
DBI                             DBI          1.1.1        <NA>
dbplyr                       dbplyr          2.1.1        <NA>
deldir                       deldir          1.0-5        <NA>
desc                           desc          1.4.0        <NA>
devtools                   devtools          2.4.2        <NA>
dichromat                 dichromat          2.0-0        <NA>
diffobj                     diffobj          0.3.5        <NA>
digest                       digest         0.6.28        <NA>
distributional       distributional          0.2.2        <NA>
dotCall64                 dotCall64          1.0-1        <NA>
